item_code,dimension,facet,include_in_main_scale,reverse_scored,item_text,scale_1_5
A1,Aufmerksamkeitsarchitektur,Fokusdauer,TRUE,FALSE,"Ich kann beim Lernen meist 45 Minuten oder länger bei einer Aufgabe bleiben, ohne die Konzentration deutlich zu verlieren.",
A2,Aufmerksamkeitsarchitektur,Distraktibilität,TRUE,TRUE,Ich werde durch kleine Geräusche oder Bewegungen im Raum schnell aus dem Konzept gebracht.,
A3,Aufmerksamkeitsarchitektur,Wiedereinstieg,TRUE,FALSE,Nach einer Unterbrechung finde ich rasch wieder in die Aufgabe zurück.,
A4,Aufmerksamkeitsarchitektur,Arbeitsstil_Sequenziell,TRUE,FALSE,Ich arbeite lieber nacheinander an Aufgaben als zwischen mehreren Aufgaben hin- und herzuwechseln.,
A5,Aufmerksamkeitsarchitektur,Task_Switching_Energie,TRUE,TRUE,"Wenn ich häufig zwischen Aufgaben wechseln muss, kostet mich das spürbar Energie.",
A6,Aufmerksamkeitsarchitektur,Pausenplanung,TRUE,FALSE,Ich plane meine Pausen beim Lernen bewusst ein.,
A7,Aufmerksamkeitsarchitektur,Flow_Neigung,TRUE,FALSE,"Wenn ich einmal im Flow bin, vergesse ich leicht die Zeit.",
A8,Aufmerksamkeitsarchitektur,Chronotyp_Morgen,FALSE,FALSE,"Am frühen Morgen fällt es mir leicht, mich zu konzentrieren.",
A9,Aufmerksamkeitsarchitektur,Chronotyp_Abend,FALSE,FALSE,"Am späten Abend fällt es mir leicht, mich zu konzentrieren.",
A10,Aufmerksamkeitsarchitektur,Mikropausenbedarf,TRUE,TRUE,"In längeren Lernphasen brauche ich häufig kurze Mikropausen (zum Beispiel aufstehen, dehnen, kurz bewegen).",
A11,Aufmerksamkeitsarchitektur,Selbstmonitoring_Konzentration,TRUE,FALSE,"Ich merke relativ früh, wenn meine Konzentration nachlässt.",
A12,Aufmerksamkeitsarchitektur,Fokus_in_Stresssituationen,TRUE,FALSE,Ich kann mich auch in unstrukturierten Situationen (zum Beispiel kurz vor Prüfungen) gut fokussieren.,
A13,Aufmerksamkeitsarchitektur,Chronotyp_Schlafzeit_Wochentag,FALSE,FALSE,"An Tagen mit Lehrveranstaltungen gehe ich typischerweise vor 23:00 Uhr schlafen.",
A14,Aufmerksamkeitsarchitektur,Chronotyp_Aufwachzeit_Wochentag,FALSE,FALSE,"An Tagen mit Lehrveranstaltungen wache ich ohne Wecker vor 7:00 Uhr auf.",
A15,Aufmerksamkeitsarchitektur,Chronotyp_Leistungshoch_vormittag,FALSE,FALSE,"Meine mentale Leistungsfähigkeit ist zwischen 8:00 und 12:00 Uhr am höchsten.",
A16,Aufmerksamkeitsarchitektur,Chronotyp_Leistungshoch_abend,FALSE,FALSE,"Meine mentale Leistungsfähigkeit ist zwischen 19:00 und 23:00 Uhr am höchsten.",
S1,Sensorische Verarbeitung,Lärmempfindlichkeit,TRUE,FALSE,In lauten oder hektischen Umgebungen fühle ich mich schnell überreizt.,
S2,Sensorische Verarbeitung,Lichtempfindlichkeit,TRUE,FALSE,Grelle Beleuchtung oder flackernde Bildschirme stören mich beim Lernen.,
S3,Sensorische Verarbeitung,Detailwahrnehmung,TRUE,FALSE,Ich nehme kleine Details in meiner Umgebung schnell wahr.,
S4,Sensorische Verarbeitung,Ordnung_Umgebung,TRUE,FALSE,"Wenn es um mich herum unordentlich ist, fällt mir konzentriertes Arbeiten schwer.",
S5,Sensorische Verarbeitung,Erholung_nach_Reiz,TRUE,FALSE,"Nach einem Tag mit vielen sensorischen Eindrücken (Lärm, Menschen, Medien) brauche ich deutlich mehr Erholung als sonst.",
S6,Sensorische Verarbeitung,Sensation_Seeking,TRUE,TRUE,"Ich suche bewusst Umgebungen mit viel Trubel und Reizen, weil ich mich dort wacher fühle.",
S7,Sensorische Verarbeitung,Musik_Positive_Wirkung,TRUE,TRUE,Hintergrundmusik beim Lernen empfinde ich meistens als angenehm.,
S8,Sensorische Verarbeitung,Musik_Ablenkung,TRUE,FALSE,Hintergrundmusik beim Lernen lenkt mich meistens ab.,
S9,Sensorische Verarbeitung,Coping_Strategien_Reize,TRUE,FALSE,"Ich habe Strategien, um unerwünschte Reize auszublenden (zum Beispiel Kopfhörer, bestimmter Lernort).",
S10,Sensorische Verarbeitung,Neue_Reize_Positive_Wirkung,TRUE,TRUE,"Neue, intensive sensorische Eindrücke (zum Beispiel neue Orte, Geräusche) inspirieren mich beim Lernen.",
S11,Sensorische Verarbeitung,Multisensory_Ermüdung,TRUE,FALSE,Mehrere parallele Sinnesreize (zum Beispiel Video mit Text und zusätzlichen Chat-Nachrichten) machen mich schnell müde.,
S12,Sensorische Verarbeitung,Umgebungsgestaltung_aktiv,TRUE,FALSE,"Ich gestalte meine Lernumgebung bewusst (Licht, Temperatur, Ordnung), um optimal arbeiten zu können.",
S13,Sensorische Verarbeitung,Multisensorische_Lernpräferenz,TRUE,FALSE,"Ich lerne am besten, wenn Lerninhalte multimodal aufbereitet sind (z. B. Video mit Notizen und Diskussion).",
SO1,Soziale Energetik,Soziale_Aufladung,TRUE,FALSE,Nach längeren sozialen Situationen fühle ich mich eher aufgeladen als erschöpft.,
SO2,Soziale Energetik,Alleinlernen_Präferenz,TRUE,TRUE,Ich lerne lieber allein als in Gruppen.,
SO3,Soziale Energetik,Gruppenarbeit_Energieminus,TRUE,TRUE,"Gruppenarbeit kostet mich mehr Energie, als sie mir gibt.",
SO4,Soziale Energetik,Diskussion_Nutzen,TRUE,FALSE,Ich profitiere fachlich stark von Diskussionen mit anderen.,
SO5,Soziale Energetik,Erholung_Alleinsein,TRUE,TRUE,Nach einem intensiven Lerntag erhole ich mich am besten allein.,
SO6,Soziale Energetik,Kleine_vertraute_Gruppen,TRUE,FALSE,"Ich arbeite am liebsten in kleinen, vertrauten Gruppen (zwei bis drei Personen).",
SO7,Soziale Energetik,Zurückhaltung_große_Gruppen,TRUE,TRUE,"In großen Gruppen (zum Beispiel Seminar, Online-Meeting) halte ich mich eher im Hintergrund.",
SO8,Soziale Energetik,Live_Sitzungen_Motivation,TRUE,FALSE,Live-Sitzungen (synchron) motivieren mich stärker als aufgezeichnete Inhalte.,
SO9,Soziale Energetik,Asynchron_Präferenz,TRUE,TRUE,"Asynchrones Arbeiten (zum Beispiel über Foren, geteilte Dokumente) ist für mich weniger anstrengend als Live-Meetings.",
SO10,Soziale Energetik,Erklären_als_Energiequelle,TRUE,FALSE,"Wenn ich anderen Lernstoff erkläre, gewinne ich dadurch Energie und Klarheit.",
SO11,Soziale Energetik,Soziale_Planung,TRUE,FALSE,"Ich plane bewusst, wann ich soziale Lernformate nutze und wann ich mich zurückziehe.",
SO12,Soziale Energetik,Soziale_Unterstützung_Nutzen,TRUE,FALSE,"Wenn ich fachlich nicht weiterkomme, hole ich mir aktiv Hilfe von anderen.",
SO13,Soziale Energetik,Isolation_bei_Überforderung,TRUE,TRUE,"Wenn ich überfordert bin, ziehe ich mich zurück, statt Unterstützung zu suchen.",
E1,Exekutive Funktionen & Strukturbedürfnis,Planung_Teilschritte,TRUE,FALSE,Ich kann komplexe Lernaufgaben in sinnvolle Teilschritte zerlegen.,
E2,Exekutive Funktionen & Strukturbedürfnis,Strukturbedarf_Start,TRUE,TRUE,"Ohne klare Aufgabenbeschreibung fällt es mir schwer, loszulegen.",
E3,Exekutive Funktionen & Strukturbedürfnis,Überblick_bei_Vielzahl_Aufgaben,TRUE,TRUE,Ich verliere in Projekten mit vielen Teilaufgaben schnell den Überblick.,
E4,Exekutive Funktionen & Strukturbedürfnis,Nutzung_Organisationstools,TRUE,FALSE,"To-do-Listen, Checklisten oder Kanban-Boards helfen mir erheblich, beim Lernen organisiert zu bleiben.",
E5,Exekutive Funktionen & Strukturbedürfnis,Vorliebe_vorgegebene_Struktur,TRUE,FALSE,Ich halte mich gern an vorgegebene Lernpläne oder Strukturen.,
E6,Exekutive Funktionen & Strukturbedürfnis,Flexible_Nutzung_von_Plänen,TRUE,FALSE,"Wenn ich einen Lernplan habe, kann ich mich gut daran orientieren, ohne zu sehr daran zu klammern.",
E7,Exekutive Funktionen & Strukturbedürfnis,Spontane_Improvisation,TRUE,TRUE,"Ich improvisiere lieber spontan, statt meinen Lernprozess vorab detailliert zu planen.",
E8,Exekutive Funktionen & Strukturbedürfnis,Durchhaltevermögen,TRUE,FALSE,"Ich bleibe auch dann an Aufgaben dran, wenn sie langweilig oder mühsam werden.",
E9,Exekutive Funktionen & Strukturbedürfnis,Re-Organisation_bei_Unterbrechungen,TRUE,FALSE,"Wenn unerwartete Aufgaben dazukommen, kann ich mein Lernen gut neu strukturieren.",
E10,Exekutive Funktionen & Strukturbedürfnis,Kriterienbedarf_Qualität,TRUE,FALSE,"Ich brauche klare Kriterien, woran ich erkenne, ob eine Lernaufgabe gut genug erledigt ist.",
E11,Exekutive Funktionen & Strukturbedürfnis,Detailverlorenheit,TRUE,TRUE,"Ich neige dazu, mich in Details zu verlieren und das Gesamtziel aus den Augen zu verlieren.",
E12,Exekutive Funktionen & Strukturbedürfnis,Deadline_Koordination,TRUE,FALSE,"Ich kann mehrere parallele Deadlines koordinieren, ohne das Gefühl von Kontrollverlust.",
E13,Exekutive Funktionen & Strukturbedürfnis,Arbeitsgedächtnis_Multitasking,TRUE,TRUE,"Wenn ich mehrere Informationen gleichzeitig im Kopf behalten muss, überfordert mich das schnell.",
E14,Exekutive Funktionen & Strukturbedürfnis,Instruktionskomplexität,TRUE,TRUE,"Lange mündliche Anweisungen kann ich mir schlecht merken, ich brauche sie schriftlich.",
E15,Exekutive Funktionen & Strukturbedürfnis,Lernprozess_Monitoring,TRUE,FALSE,"Ich reflektiere regelmäßig, ob meine Lernstrategie funktioniert, und passe sie gegebenenfalls an.",
E16,Exekutive Funktionen & Strukturbedürfnis,Schwierigkeitseinschätzung,TRUE,FALSE,"Ich kann gut einschätzen, welche Lerninhalte ich schon verstanden habe und welche noch nicht.",
M1,Motivationsarchitektur,Intrinsische_Motivation,TRUE,FALSE,"Ich lerne hauptsächlich, weil mich das Thema inhaltlich interessiert.",
M2,Motivationsarchitektur,Vermeidungsorientierung,FALSE,FALSE,"Ich lerne hauptsächlich, um Fehler, Kritik oder Misserfolg zu vermeiden.",
M3,Motivationsarchitektur,Zielorientierung,TRUE,FALSE,"Konkrete Ziele (zum Beispiel Noten, Zertifikate) motivieren mich stark.",
M4,Motivationsarchitektur,Fortschrittsanzeige,TRUE,FALSE,"Wenn ich sichtbare Fortschritte sehe (zum Beispiel erledigte Aufgaben, Fortschrittsbalken), bleibe ich leichter dran.",
M5,Motivationsarchitektur,Feedbackbedarf,TRUE,FALSE,"Ich brauche regelmäßiges Feedback, um motiviert zu bleiben.",
M6,Motivationsarchitektur,Feedbackdetailgrad,TRUE,FALSE,Sehr detailliertes Feedback (warum etwas gut oder schlecht ist) ist mir wichtig.,
M7,Motivationsarchitektur,Feedbacktonalität_Positive,TRUE,FALSE,"Positives, ermutigendes Feedback motiviert mich deutlich mehr als nüchternes Feedback.",
M8,Motivationsarchitektur,Feedbacktonalität_Kritisch,TRUE,FALSE,"Konstruktiv-kritisches Feedback hilft mir, auch wenn es unangenehm ist.",
M9,Motivationsarchitektur,Prokrastination,FALSE,FALSE,"Ich neige dazu, Lernaufgaben aufzuschieben, selbst wenn sie wichtig sind.",
M10,Motivationsarchitektur,Interesse_Flow,TRUE,FALSE,"Wenn ich eine Aufgabe spannend finde, vergesse ich oft Zeit und Aufwand.",
M11,Motivationsarchitektur,Extrinsische_Belohnung,TRUE,FALSE,"Belohnungen oder Anreize von außen (zum Beispiel Punkte, Gamification) steigern meine Lernmotivation.",
M12,Motivationsarchitektur,Persistenz_ohne_Feedback,TRUE,FALSE,Ich bleibe auch ohne direkte Rückmeldung an Lernaufgaben dran.,
M13,Motivationsarchitektur,Intrinsische_Motivation_reversed,TRUE,TRUE,"Ohne äußeren Druck (Noten, Deadlines) fällt es mir schwer, mit Lernaufgaben zu beginnen.",
M14,Motivationsarchitektur,Feedbackabhängigkeit_reversed,TRUE,TRUE,"Wenn ich länger kein Feedback bekomme, sinkt meine Motivation deutlich.",
M15,Motivationsarchitektur,Zielorientierung_reversed,TRUE,TRUE,"Auch wenn ich das Ziel erreicht habe (zum Beispiel Prüfung bestanden), lerne ich oft weiter am Thema.",
M16,Motivationsarchitektur,Extrinsische_Abhängigkeit,TRUE,TRUE,"Ohne Belohnungen oder Anreize von außen würde ich deutlich weniger lernen.",
M17,Motivationsarchitektur,Wenn_Dann_Planung,TRUE,FALSE,"Ich nutze Wenn-Dann-Pläne (zum Beispiel 'Wenn es 14 Uhr ist, dann beginne ich mit Kapitel 3').",
M18,Motivationsarchitektur,Commitment_Strategien,TRUE,FALSE,"Ich teile anderen meine Lernziele mit, um mich dadurch zu verpflichten.",
R1,Autonome Regulation / Stress & Vigilanz,Subjektives_Stressniveau,TRUE,TRUE,In den letzten Wochen habe ich mich häufig innerlich angespannt gefühlt.,
R2,Autonome Regulation / Stress & Vigilanz,Abschalten_Abends,TRUE,TRUE,"Es fällt mir schwer, abends mental abzuschalten und nicht mehr an Lernstoff zu denken.",
R3,Autonome Regulation / Stress & Vigilanz,Erschöpfung_nach_Lernen,TRUE,TRUE,Nach längeren Lerneinheiten fühle ich mich eher erschöpft als zufrieden.,
R4,Autonome Regulation / Stress & Vigilanz,Stress_durch_Unvorhergesehenes,TRUE,TRUE,Unvorhergesehene Änderungen im Lernplan stressen mich deutlich.,
R5,Autonome Regulation / Stress & Vigilanz,Wahrnehmung_körperlicher_Stresszeichen,TRUE,FALSE,"Ich kann körperliche Anzeichen von Stress (zum Beispiel Herzklopfen, flache Atmung) bei mir erkennen.",
R6,Autonome Regulation / Stress & Vigilanz,Kurzpausen_Regulation,TRUE,FALSE,"Ich nutze bewusst kleine Pausen,um mein Anspannungsniveau zu regulieren (z. B. Atmung, kurze Bewegung).",
R7,Autonome Regulation / Stress & Vigilanz,Abendroutinen_Regeneration,TRUE,FALSE,"Ich habe Routinen, die mir helfen, nach dem Lernen herunterzukommen.",
R8,Autonome Regulation / Stress & Vigilanz,Druck_als_Leistungsfaktor,TRUE,FALSE,"Wenn ich unter Druck stehe, lerne ich manchmal effektiver als ohne Druck.",
R9,Autonome Regulation / Stress & Vigilanz,Schlaf_in_Stressphasen,TRUE,TRUE,Ich schlafe in Prüfungsphasen schlechter als sonst.,
R10,Autonome Regulation / Stress & Vigilanz,Belastungsausgleich,TRUE,FALSE,Nach Tagen mit hoher Belastung plane ich bewusst entlastende Aktivitäten ein.,
R11,Autonome Regulation / Stress & Vigilanz,Prioritätensetzung_in_Stress,TRUE,FALSE,"Ich kann in Stressphasen Prioritäten setzen, ohne in Panik zu geraten.",
R12,Autonome Regulation / Stress & Vigilanz,Belastungsgrenze_Wahrnehmung,TRUE,FALSE,"Ich spüre frühzeitig, wenn meine Belastungsgrenze erreicht ist, und reagiere darauf.",
